"record_id","employee_id","program_type","training_hours","completion_status","training_month"
"REC001","EMP157","ai foundations",23,"Partial","2023-03-01"
"REC002","EMP010","workflow automation",26,"Completed","2024-03-01"
"REC003","EMP264","Leadership in ai",5,"Completed","2024-03-01"
"REC004","EMP016","AI Foundations",20,"Dropped","May-24"
"REC005","EMP065","Leadership in AI",38,"Completed","2023-11-01"
"REC006","EMP059","AI Foundations",52,"Dropped","Aug-23"
"REC007","EMP200","Data literacy",21,"Partial","2023-06-01"
"REC008","EMP058","data literacy",40,"DROPPED","2023-05-01"
"REC009","EMP145","Data Literacy",21,"COMPLETED","04/01/2023"
"REC010","EMP216","Leadership in AI",8,"Dropped","2023-04-01"
"REC011","EMP205","AI Foundations",8,"Completed","2023-12-01"
"REC012","EMP040","AI Foundations",25,"completed","06/01/2024"
"REC013","EMP107","Workflow Automation",13,"Partial","04/01/2023"
"REC014","EMP156","Leadership in ai",20,"completed","04/01/2024"
"REC015","EMP173","Data Literacy",45,"Completed","08/01/2023"
"REC016","EMP064","Data literacy",18,"Completed","2023-01-01"
"REC017","EMP009","AI Foundations",45,"completed","2023-02-01"
"REC018","EMP076","Leadership in AI",16,"Completed","2024-04-01"
"REC019","EMP228","Workflow Automation",76,"Completed","2023-01-01"
"REC020","EMP003","Data Literacy",12,"Completed","10/01/2023"
"REC021","EMP115","Workflow Automation",11,"Partial","2024-05-01"
"REC022","EMP082","data literacy",23,"COMPLETED","2023-08-01"
"REC023","EMP108","Workflow Automation",5,"Completed","10/01/2023"
"REC024","EMP199","AI Foundations",7,"Partial","Jul-23"
"REC025","EMP026","Ai foundations",28,"Completed","2023-03-01"
"REC026","EMP164","AI Foundations",50,"Completed","2024-06-01"
"REC027","EMP053","Data Literacy",6,"Completed","2023-12-01"
"REC028","EMP253","Workflow Automation",9,"Partial","Jul-23"
"REC029","EMP125","Leadership in AI",30,"Completed","2023-04-01"
"REC030","EMP201","AI Foundations",5,"partial","2023-09-01"
"REC031","EMP022","Data Literacy",6,"Completed","2023-07-01"
"REC032","EMP195","AI Foundations",30,"COMPLETED","2023-12-01"
"REC033","EMP268","Workflow Automation",22,"Completed","2023-05-01"
"REC034","EMP134","Workflow Automation",49,"Completed","Jul-23"
"REC035","EMP192","Data Literacy",5,"completed","2023-05-01"
"REC036","EMP240","Data Literacy",29,"COMPLETED","02/01/2024"
"REC037","EMP177","Leadership in AI",27,"completed","2023-07-01"
"REC038","EMP098","Data Literacy",48,"Completed","Jan-24"
"REC039","EMP002","Workflow Automation",9,"COMPLETED","04/01/2023"
"REC040","EMP198","Workflow automation",6,"completed","2023-05-01"
"REC041","EMP206","Workflow Automation",9,"Completed","01/01/2024"
"REC042","EMP017","Data Literacy",20,"COMPLETED","May-24"
"REC043","EMP208","Leadership in ai",38,"Dropped","2023-06-01"
"REC044","EMP028","AI Foundations",7,"Dropped","2024-04-01"
"REC045","EMP204","Workflow Automation",14,"Partial","06/01/2024"
"REC046","EMP251","Workflow Automation",22,"completed","02/01/2023"
"REC047","EMP261","AI Foundations",16,"Completed","2023-10-01"
"REC048","EMP085","AI Foundations",6,"Partial","2024-05-01"
"REC049","EMP095","Leadership in ai",79,"Completed","03/01/2024"
"REC050","EMP083","Workflow Automation",12,"Partial","2023-11-01"
"REC051","EMP236","AI Foundations",14,"partial","2023-02-01"
"REC052","EMP037","AI Foundations",18,"Completed","Mar-24"
"REC053","EMP051","AI Foundations",15,"dropped","04/01/2024"
"REC054","EMP232","Workflow Automation",22,"Partial","2024-06-01"
"REC055","EMP144","Data Literacy",43,"Completed","2023-10-01"
"REC056","EMP176","AI Foundations",27,"Completed","10/01/2023"
"REC057","EMP233","Ai foundations",36,"Dropped","06/01/2024"
"REC058","EMP068","Workflow Automation",29,"Completed","2023-11-01"
"REC059","EMP132","AI Foundations",12,"Partial","Apr-24"
"REC060","EMP093","Data Literacy",22,"COMPLETED","2023-05-01"
"REC061","EMP088","AI Foundations",24,"COMPLETED","04/01/2024"
"REC061X","EMP088","AI Foundations",25,"COMPLETED","04/01/2024"
"REC062","EMP103","Leadership in AI",18,"completed","2023-02-01"
"REC063","EMP150","AI Foundations",46,"Completed","2024-01-01"
"REC064","EMP102","AI Foundations",69,"COMPLETED","2024-03-01"
"REC065","EMP137","Workflow Automation",30,"Completed","05/01/2023"
"REC066","EMP246","AI Foundations",14,"Completed","06/01/2024"
"REC067","EMP027","Leadership in AI",44,"Completed","12/01/2023"
"REC068","EMP031","AI Foundations",22,"Completed","Jun-24"
"REC069","EMP151","Data literacy",23,"Completed","2023-03-01"
"REC070","EMP033","AI Foundations",21,"Partial","2024-01-01"
"REC071","EMP060","AI Foundations",7,"completed","2024-01-01"
"REC072","EMP042","Ai foundations",21,"Completed","2023-04-01"
"REC073","EMP171","AI Foundations",16,"Completed","2024-01-01"
"REC074","EMP012","Data Literacy",40,"COMPLETED","12/01/2023"
"REC075","EMP015","AI Foundations",22,"COMPLETED","2023-06-01"
"REC076","EMP160","AI Foundations",32,"Completed","2024-02-01"
"REC077","EMP055","Workflow Automation",15,"Partial","Aug-23"
"REC078","EMP161","AI Foundations",7,"Partial","2023-10-01"
"REC079","EMP155","data literacy",21,"Dropped","06/01/2023"
"REC080","EMP207","Data literacy",15,"COMPLETED","2023-09-01"
"REC081","EMP131","workflow automation",26,"Completed","2023-06-01"
"REC082","EMP168","Ai foundations",62,"Partial","07/01/2023"
"REC083","EMP167","Workflow Automation",49,"partial","02/01/2024"
"REC083X","EMP167","Workflow Automation",51,"partial","02/01/2024"
"REC084","EMP278","Leadership in AI",15,"Completed","2023-02-01"
"REC085","EMP078","data literacy",29,"Dropped","09/01/2023"
"REC086","EMP116","Workflow automation",22,"Completed","09/01/2023"
"REC087","EMP230","Workflow Automation",7,"Completed","2023-04-01"
"REC088","EMP136","Workflow Automation",17,"partial","2024-02-01"
"REC089","EMP050","Data Literacy",6,"Completed","2023-07-01"
"REC090","EMP123","AI Foundations",22,"Completed","2024-06-01"
"REC091","EMP054","AI Foundations",27,"completed","02/01/2024"
"REC092","EMP269","Leadership in AI",15,"completed","06/01/2023"
"REC093","EMP099","Data literacy",9,"PARTIAL","11/01/2023"
"REC094","EMP148","Leadership in ai",18,"Partial","2024-05-01"
"REC095","EMP014","AI Foundations",4,"Completed","Jan-24"
"REC096","EMP071","Data Literacy",12,"Partial","2023-11-01"
"REC097","EMP188","Data Literacy",41,"completed","2023-11-01"
"REC098","EMP121","AI Foundations",4,"Completed","05/01/2023"
"REC099","EMP091","Workflow Automation",10,"COMPLETED","2024-02-01"
"REC100","EMP215","workflow automation",13,"Partial","2023-07-01"
"REC101","EMP056","data literacy",17,"Completed","2023-11-01"
"REC102","EMP169","AI Foundations",15,"Partial","06/01/2023"
"REC103","EMP196","Workflow Automation",20,"Completed","2024-06-01"
"REC104","EMP142","Workflow Automation",20,"Completed","2023-07-01"
"REC105","EMP061","Ai foundations",41,"Partial","2023-08-01"
"REC106","EMP272","Data Literacy",22,"Completed","06/01/2023"
"REC107","EMP067","AI Foundations",19,"Partial","2023-05-01"
"REC108","EMP222","AI Foundations",17,"Completed","11/01/2023"
"REC109","EMP008","Workflow Automation",14,"dropped","2023-07-01"
"REC110","EMP113","Workflow Automation",44,"Completed","2023-10-01"
